Perfil,Tweet,Sentimento,Tópico
matandosuacurio,Um milagre  aconteceu  um jogo sem tomar gol,0.87,Milagre sem gols
RSPtips,fora diniz,-1.0,Sai Diniz
karl_ffc,"Que exibição maravilhosa, vitória pra convencer e show de futebol contra o time fortíssimo do Sampaio Corrêa.

Cadê os críticos agora????? Contrato vitalício pro Diniz, melhor técnico do Brasil 

(É ironia, pelo amor de Deus)",0.89,Irônica e provocativa
AedoDias,"Apesar do resultado, mais um jogo ruim do time, ponto positivo é o Felipe Andrade que  ótimo zagueiro, só não é titular pq não é da panelinha do diniz.",-0.36,Elogio a Felipe Andrade
elicepsv,tô convencido que contra o galo vai ser no máximo 3×0 pra eles,-0.85,Vitória esperada do Flamengo
21RichardFFC,Parabéns por fazer a sua obrigação nesse jogo de merda!,-1.0,Ironia futebolística
tuitaabea,FOI O TERANS PORRA,-0.54, Terans fez o gol.
lippetchow,"Estagiário, avisa o Diniz que o Felipe Andrade tem que ser TITULAR pra ontem. E parar de inventar moda.",-0.86,Felipe Andrade titular
Nog__Marco,"Mais um péssimo jogo, sorte que o time do outro lado é muito fraco

Fora Diniz",-0.87,Crítica ao técnico
thg_quintella,"Graças as improvisações do diniz pode-se tirar pouca coisa desse jogo, uma das únicas é o felipe andrade, nosso melhor zagueiro.",-0.45,Poucos destaques no jogo
Leo_FFC1902,"ARIAS JOGA PELA DIREITA !!!
ARIAS JOGA PELA DIREITA !!!
ARIAS JOGA PELA DIREITA !!!
ARIAS JOGA PELA DIREITA !!!
ARIAS JOGA PELA DIREITA !!!
ARIAS JOGA PELA DIREITA !!!
ARIAS JOGA PELA DIREITA !!!
ARIAS JOGA PELA DIREITA !!!
ARIAS JOGA PELA DIREITA !!!
ARIAS JOGA PELA DIREITA !!!",1.0,Arias joga pela direita
Gbmaiaffc,"Fez o mínimo
jogou porra nenhuma",-1.0,Crítica ao desempenho
lumarujo,"Parabéns, não fez mais do que a obrigação  Felipe Andrade titular na zaga já!",-0.23,Crítica à escalação
mussajk37,"Renato Augusto, terans e DC ainda não estrearam ....
 14 milhões no terans foi uma sacanagem sem precedentes..",-0.5,Crítica à contratação de Terans
feippppp,é inacreditável o fato do felipe andrade ser reserva pra felipe melo e manoel kkkkk o cara é o melhor zagueiro do time!!!,-0.67,Zagueiro subestimado
pedka_,"obrigação, mas boa vitória

felipe andrade tem q ser titular, terans jogou bem hoje

renato completamente inexistente, assim como o kauã elias, muito mal os 2",0.5,Vitória com ressalvas
Phd14s,"Finalmente uma vitória hein, vamos ver se agora ganham de um time da série A",1.0,Desdém pela vitória
