Nome do Usuário,Perfil do Twitter,Tweet Original,URL Imagem Anexada,Timestamp Data de Postagem,Link do Tweet Original,Link da Resposta,Link do Perfil do Twitter,Conteúdo da Resposta,Timestamp Data de Postagem da Resposta
Fluminense F.C.,@FluminenseFC,"VEEEEEEENNNNCEEEE O FLUMINEEEENSEEE! 

ARIAS E LIMA MARCAM, O FLU FAZ 2 A 0 NO SAMPAIO CORRÊA E SAI NA FRENTE NA TERCEIRA FASE DA COPA DO BRASIL! VAAAMMMOS, TRICOLOR!",https://pbs.twimg.com/media/GMhaHcRXEAA0c6X?format=jpg&name=900x900,2024-05-01T21:00:32.000Z,https://twitter.com/FluminenseFC/status/1785776343029875113,,,,
Fluminense F.C.,@FluminenseFC,,https://pbs.twimg.com/media/GMhaHcRXEAA0c6X?format=jpg&name=900x900,,,,https://twitter.com/FluminenseFC,"VEEEEEEENNNNCEEEE O FLUMINEEEENSEEE! 

ARIAS E LIMA MARCAM, O FLU FAZ 2 A 0 NO SAMPAIO CORRÊA E SAI NA FRENTE NA TERCEIRA FASE DA COPA DO BRASIL! VAAAMMMOS, TRICOLOR!",
el anjo,@matandosuacurio,,,,,https://twitter.com/matandosuacurio/status/1786119386031431718,https://twitter.com/matandosuacurio,Um milagre  aconteceu  um jogo sem tomar gol,2024-05-02T19:43:40.000Z
RSP tips,@RSPtips,,,,,https://twitter.com/RSPtips/status/1785778543579791397,https://twitter.com/RSPtips,fora diniz,2024-05-01T21:09:17.000Z
pedro karl,@karl_ffc,,,,,https://twitter.com/karl_ffc/status/1785776841464176745,https://twitter.com/karl_ffc,"Que exibição maravilhosa, vitória pra convencer e show de futebol contra o time fortíssimo do Sampaio Corrêa.

Cadê os críticos agora????? Contrato vitalício pro Diniz, melhor técnico do Brasil 

(É ironia, pelo amor de Deus)",2024-05-01T21:02:31.000Z
Aedo Dias,@AedoDias,,,,,https://twitter.com/AedoDias/status/1785777178451313117,https://twitter.com/AedoDias,"Apesar do resultado, mais um jogo ruim do time, ponto positivo é o Felipe Andrade que  ótimo zagueiro, só não é titular pq não é da panelinha do diniz.",2024-05-01T21:03:52.000Z
lucas,@elicepsv,,,,,https://twitter.com/elicepsv/status/1785777254082949456,https://twitter.com/elicepsv,tô convencido que contra o galo vai ser no máximo 3×0 pra eles,2024-05-01T21:04:10.000Z
Richard Moedas,@21RichardFFC,,,,,https://twitter.com/21RichardFFC/status/1785776584965644636,https://twitter.com/21RichardFFC,Parabéns por fazer a sua obrigação nesse jogo de merda!,2024-05-01T21:01:30.000Z
Annaᶠᶠᶜ  - #FORADINIZ,@tuitaabea,,https://pbs.twimg.com/media/GMhaQ67WgAExfS6?format=jpg&name=small,,,https://twitter.com/tuitaabea/status/1785776501591261327,https://twitter.com/tuitaabea,FOI O TERANS PORRA,2024-05-01T21:01:10.000Z
Felippe Silva,@lippetchow,,,,,https://twitter.com/lippetchow/status/1785776758546952305,https://twitter.com/lippetchow,"Estagiário, avisa o Diniz que o Felipe Andrade tem que ser TITULAR pra ontem. E parar de inventar moda.",2024-05-01T21:02:12.000Z
