Name,Handle,Tweet text,Media URL,Posted,Posted timestamp,Retweets(num),Quoted tweets(num),Likes(num),Profile image,url,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Fluminense F.C.,@FluminenseFC,"VEEEEEEENNNNCEEEE O FLUMINEEEENSEEE! 

ARIAS E LIMA MARCAM, O FLU FAZ 2 A 0 NO SAMPAIO CORRÊA E SAI NA FRENTE NA TERCEIRA FASE DA COPA DO BRASIL! VAAAMMMOS, TRICOLOR!",https://pbs.twimg.com/media/GMhaHcRXEAA0c6X?format=jpg&name=900x900,6:00 PM · 1 de mai de 2024,2024-05-01T21:00:32.000Z,941,173,,https://pbs.twimg.com/profile_images/1683890553358888964/HTnGVxQ-_normal.jpg,https://twitter.com/FluminenseFC/status/1785776343029875113,,,,,,,,,
Fluminense F.C.,@FluminenseFC,,"https://pbs.twimg.com/media/GMhaHcRXEAA0c6X?format=jpg&name=900x900, https://pbs.twimg.com/media/GMhaHcRXEAA0c6X?format=jpg&name=900x900",,,,,,,,941,,173,,,https://twitter.com/FluminenseFC,"VEEEEEEENNNNCEEEE O FLUMINEEEENSEEE! 

ARIAS E LIMA MARCAM, O FLU FAZ 2 A 0 NO SAMPAIO CORRÊA E SAI NA FRENTE NA TERCEIRA FASE DA COPA DO BRASIL! VAAAMMMOS, TRICOLOR!",,
el anjo,@matandosuacurio,,,,,,,,,,,,,13,https://twitter.com/matandosuacurio/status/1786119386031431718,https://twitter.com/matandosuacurio,Um milagre  aconteceu  um jogo sem tomar gol,4 h,2024-05-02T19:43:40.000Z
RSP tips,@RSPtips,,,,,,,,,,,4,1,1 mil,https://twitter.com/RSPtips/status/1785778543579791397,https://twitter.com/RSPtips,fora diniz,1 de mai,2024-05-01T21:09:17.000Z
DAVIDMAKINASTIPSER,@DAVIDMAKTIPSER,,"https://pbs.twimg.com/media/GMfsaG8XQAEYqLX?format=jpg&name=small, https://pbs.twimg.com/media/GMfsaG8XQAEYqLX?format=jpg&name=small",,,,,,,,,,,3 mil,https://twitter.com/DAVIDMAKTIPSER/status/1785777190560260541,https://twitter.com/DAVIDMAKTIPSER,,1 de mai,2024-05-01T21:03:55.000Z
pedro karl,@karl_ffc,,,,,,,,,,1,64,2,3 mil,https://twitter.com/karl_ffc/status/1785776841464176745,https://twitter.com/karl_ffc,"Que exibição maravilhosa, vitória pra convencer e show de futebol contra o time fortíssimo do Sampaio Corrêa.

Cadê os críticos agora????? Contrato vitalício pro Diniz, melhor técnico do Brasil 

(É ironia, pelo amor de Deus)",1 de mai,2024-05-01T21:02:31.000Z
Aedo Dias,@AedoDias,,,,,,,,,,,18,,1 mil,https://twitter.com/AedoDias/status/1785777178451313117,https://twitter.com/AedoDias,"Apesar do resultado, mais um jogo ruim do time, ponto positivo é o Felipe Andrade que  ótimo zagueiro, só não é titular pq não é da panelinha do diniz.",1 de mai,2024-05-01T21:03:52.000Z
lucas,@elicepsv,,,,,,,,,,,18,,1 mil,https://twitter.com/elicepsv/status/1785777254082949456,https://twitter.com/elicepsv,tô convencido que contra o galo vai ser no máximo 3×0 pra eles,1 de mai,2024-05-01T21:04:10.000Z
Richard Moedas,@21RichardFFC,,,,,,,,,,,34,,1 mil,https://twitter.com/21RichardFFC/status/1785776584965644636,https://twitter.com/21RichardFFC,Parabéns por fazer a sua obrigação nesse jogo de merda!,1 de mai,2024-05-01T21:01:30.000Z
22x10,@lBiiel_,,"https://pbs.twimg.com/media/GMhaKG8XYAA68yJ?format=jpg&name=small, https://pbs.twimg.com/media/GMhaKG8XYAA68yJ?format=jpg&name=small",,,,,,,,3,36,2,1 mil,https://twitter.com/lBiiel_/status/1785776388714189068,https://twitter.com/lBiiel_,,1 de mai,2024-05-01T21:00:43.000Z
Annaᶠᶠᶜ  - #FORADINIZ,@tuitaabea,,"https://pbs.twimg.com/media/GMhaQ67WgAExfS6?format=jpg&name=small, https://pbs.twimg.com/media/GMhaQ67WgAExfS6?format=jpg&name=small",,,,,,,,,8,1,2 mil,https://twitter.com/tuitaabea/status/1785776501591261327,https://twitter.com/tuitaabea,FOI O TERANS PORRA,1 de mai,2024-05-01T21:01:10.000Z
Felippe Silva,@lippetchow,,,,,,,,,,,3,,398,https://twitter.com/lippetchow/status/1785776758546952305,https://twitter.com/lippetchow,"Estagiário, avisa o Diniz que o Felipe Andrade tem que ser TITULAR pra ontem. E parar de inventar moda.",1 de mai,2024-05-01T21:02:12.000Z
Marco Nogueira,@Nog__Marco,,,,,,,,,,,9,,676,https://twitter.com/Nog__Marco/status/1785776940319641840,https://twitter.com/Nog__Marco,"Mais um péssimo jogo, sorte que o time do outro lado é muito fraco

Fora Diniz",1 de mai,2024-05-01T21:02:55.000Z
Thiagoᶠᶠᶜ,@thg_quintella,,,,,,,,,,,4,,568,https://twitter.com/thg_quintella/status/1785776728574403025,https://twitter.com/thg_quintella,"Graças as improvisações do diniz pode-se tirar pouca coisa desse jogo, uma das únicas é o felipe andrade, nosso melhor zagueiro.",1 de mai,2024-05-01T21:02:04.000Z
Léo,@Leo_FFC1902,,,,,,,,,,,3,,433,https://twitter.com/Leo_FFC1902/status/1785777326212403213,https://twitter.com/Leo_FFC1902,"ARIAS JOGA PELA DIREITA !!!
ARIAS JOGA PELA DIREITA !!!
ARIAS JOGA PELA DIREITA !!!
ARIAS JOGA PELA DIREITA !!!
ARIAS JOGA PELA DIREITA !!!
ARIAS JOGA PELA DIREITA !!!
ARIAS JOGA PELA DIREITA !!!
ARIAS JOGA PELA DIREITA !!!
ARIAS JOGA PELA DIREITA !!!
ARIAS JOGA PELA DIREITA !!!",1 de mai,2024-05-01T21:04:27.000Z
Gb,@Gbmaiaffc,,,,,,,,,,,6,,349,https://twitter.com/Gbmaiaffc/status/1785776746358345884,https://twitter.com/Gbmaiaffc,"Fez o mínimo
jogou porra nenhuma",1 de mai,2024-05-01T21:02:09.000Z
Lu CAMPEÃ DA LIBERTADORES,@lumarujo,,,,,,,,,,,4,,356,https://twitter.com/lumarujo/status/1785788646676685146,https://twitter.com/lumarujo,"Parabéns, não fez mais do que a obrigação  Felipe Andrade titular na zaga já!",1 de mai,2024-05-01T21:49:26.000Z
Sr Armando (do saco de farinha),@mussajk37,,,,,,,,,,,3,2,950,https://twitter.com/mussajk37/status/1785777210302861503,https://twitter.com/mussajk37,"Renato Augusto, terans e DC ainda não estrearam ....
 14 milhões no terans foi uma sacanagem sem precedentes..",1 de mai,2024-05-01T21:03:59.000Z
felipe freitas campani,@feippppp,,,,,,,,,,,1,,244,https://twitter.com/feippppp/status/1785777781852311588,https://twitter.com/feippppp,é inacreditável o fato do felipe andrade ser reserva pra felipe melo e manoel kkkkk o cara é o melhor zagueiro do time!!!,1 de mai,2024-05-01T21:06:15.000Z
Pedroᶠᶠᶜ,@pedka_,,,,,,,,,,,1,1,848,https://twitter.com/pedka_/status/1785776801039384654,https://twitter.com/pedka_,"obrigação, mas boa vitória

felipe andrade tem q ser titular, terans jogou bem hoje

renato completamente inexistente, assim como o kauã elias, muito mal os 2",1 de mai,2024-05-01T21:02:22.000Z
Peagá (4/45),@Phd14s,,,,,,,,,,,1,,545,https://twitter.com/Phd14s/status/1785776522332168668,https://twitter.com/Phd14s,"Finalmente uma vitória hein, vamos ver se agora ganham de um time da série A",1 de mai,2024-05-01T21:01:15.000Z
Tricolor de Alma,@Edfluzao1,,,,,,,,,,,1,,254,https://twitter.com/Edfluzao1/status/1785776955003941117,https://twitter.com/Edfluzao1,"Mais um jogo ruim de Diniz
Antonio Carlos tem q jogar no olaria
Kauan elias pode voltar p sub 20",1 de mai,2024-05-01T21:02:58.000Z
Tricolor de Alma,@Edfluzao1,,,,,,,,,,,1,,254,https://twitter.com/Edfluzao1/status/1785776955003941117,https://twitter.com/Edfluzao1,"Mais um jogo ruim de Diniz
Antonio Carlos tem q jogar no olaria
Kauan elias pode voltar p sub 20",1 de mai,2024-05-01T21:02:58.000Z
Carioca,@_CariocaFlu,,,,,,,,,,,2,,234,https://twitter.com/_CariocaFlu/status/1785777012415627404,https://twitter.com/_CariocaFlu,Fez o mínimo aceitável pra ter como poupar na volta também... pelo menos isso da pra arrumar.,1 de mai,2024-05-01T21:03:12.000Z
Niko,@Nicolas997,,,,,,,,,,,1,,569,https://twitter.com/Nicolas997/status/1785776750196146280,https://twitter.com/Nicolas997,"Primeira vez esse ano que fico puto com a vitoria do flu esse ano, ganhamos, mas perdemos MTS chances claras. demora pra fazer as mexidas . confesso que n me convenceu nem um pouco contra o galo.",1 de mai,2024-05-01T21:02:10.000Z
Gbᶠᶠᶜ,@ffcgabrieeel,,,,,,,,,,,5,,361,https://twitter.com/ffcgabrieeel/status/1785776710723518838,https://twitter.com/ffcgabrieeel,"não fez mais que a obrigação, seguimos.",1 de mai,2024-05-01T21:02:00.000Z
Gustavo Marchiori,@gmarchiori,,,,,,,,,,,1,,185,https://twitter.com/gmarchiori/status/1785787814254195197,https://twitter.com/gmarchiori,Até o Árias tá ficando perdido já nesse time. Não tem uma jogada treinada. Só treinam tocar a bola e quando estão com ela não sabem o que fazer.,1 de mai,2024-05-01T21:46:07.000Z
Pedrinho,@HenrySullivan,,,,,,,,,,,1,,513,https://twitter.com/HenrySullivan/status/1785776505219399951,https://twitter.com/HenrySullivan,"Todos de acordo que o Felipe Andrade não deve sair do time titular NUNCA MAIS, certo?",1 de mai,2024-05-01T21:01:11.000Z
felipeᶠᶠᶜ,@pinheirofelipeq,,,,,,,,,,,1,,323,https://twitter.com/pinheirofelipeq/status/1785776560143732923,https://twitter.com/pinheirofelipeq,não fez mais do que a sua obrigação.,1 de mai,2024-05-01T21:01:24.000Z
Sandro Monteiro,@SandroMont,,,,,,,,,,,1,,165,https://twitter.com/SandroMont/status/1785779765019918535,https://twitter.com/SandroMont,Lição de casa feita. O verdadeiro teste é sábado. Eu ainda acredito.,1 de mai,2024-05-01T21:14:08.000Z
BisNext,@FASBisneto,,,,,,,,,,,2,,79,https://twitter.com/FASBisneto/status/1785776775227654600,https://twitter.com/FASBisneto,"Boa, vamos dar a volta por cima!",1 de mai,2024-05-01T21:02:15.000Z
Mario Bittencourt,@MarioBitcoin_,,,,,,,,,,,2,,323,https://twitter.com/MarioBitcoin_/status/1785776979381227710,https://twitter.com/MarioBitcoin_,"torcida e time, precisamos mudar essa fase! sábado é cariacica lotado e VITORIA nessa porra, voltar as vitórias.",1 de mai,2024-05-01T21:03:04.000Z
vivis,@vivisffc,,,,,,,,,,,1,,300,https://twitter.com/vivisffc/status/1785776788100067429,https://twitter.com/vivisffc,parabéns por fazer a sua obrigação mas não convenceu ninguém,1 de mai,2024-05-01T21:02:19.000Z
Rafael Fragata,@RafaelFragata4,,,,,,,,,,,,,351,https://twitter.com/RafaelFragata4/status/1785778558436044817,https://twitter.com/RafaelFragata4,Mais um jogo ridículo... Graças a Deus era o Glorioso Sampaio Corrêa na copa do Brasil.,1 de mai,2024-05-01T21:09:21.000Z
CAMPEÃO DA AMÉRICA,@DanielBernar,,,,,,,,,,,,,69,https://twitter.com/DanielBernar/status/1785777384752382018,https://twitter.com/DanielBernar,"Muito bem, melhorou de péssimo pro ruim.",1 de mai,2024-05-01T21:04:41.000Z
B Medeiros,@BenildoMedeiros,,,,,,,,,,,,,9,https://twitter.com/BenildoMedeiros/status/1786071124763119921,https://twitter.com/BenildoMedeiros,"Que bom que venceu e que tivemos lguns chutes a gol, mas como chutam mal em? Será quem alguém ai treina finalização?",8 h,2024-05-02T16:31:54.000Z
Luís Felipe Quitete,@lfquitete,,,,,,,,,,,1,,190,https://twitter.com/lfquitete/status/1785776914780602864,https://twitter.com/lfquitete,que atuação fraca e podre contra uma time da SÉRIE C! Falta tesão nesse time.,1 de mai,2024-05-01T21:02:49.000Z
RAPHAEL COUTO (@rcoutogames),@rcoutogames,,,,,,,,,,,,,150,https://twitter.com/rcoutogames/status/1785779103368352154,https://twitter.com/rcoutogames,"Temos que ser sinceros, com toda humildade o Sampaio Correia não serve pra parâmetro né ...... Mas estou feliz com a vitória",1 de mai,2024-05-01T21:11:31.000Z
fran chaves,@franchaves131,,,,,,,,,,,2,,321,https://twitter.com/franchaves131/status/1785778842121982113,https://twitter.com/franchaves131,Fim de jogo Fluzão goleia o Sampaio correia da terceira divisão que vendeu seu mando de campo. Senhor tem como o adiar a próxima partida do fluminense contra o Atlético MG. Amém  obrigado,1 de mai,2024-05-01T21:10:28.000Z
Hugo Amadoᶠᶠᶜ,@maxim_hugo7,,,,,,,,,,,,,289,https://twitter.com/maxim_hugo7/status/1785776552057192618,https://twitter.com/maxim_hugo7,"Venceu, mas que jogo feio ein. Vamos melhorar isso aí.",1 de mai,2024-05-01T21:01:22.000Z
Juliana,@masalaju,,,,,,,,,,,8,,793,https://twitter.com/masalaju/status/1785776644722176508,https://twitter.com/masalaju,parabéns por fazer a obrigação,1 de mai,2024-05-01T21:01:44.000Z
